source_file,canonical_id,participant_determination,commission_report_reference,structural_radius,exact_previous_representation,exact_new_representation,migration_basis,implementation_status,validation_status,reviewer,review_date,unresolved_issue
Reality_Mechanics/4_Practice/Atlas Condition Header.md,practice.atlas-condition-header,pd.v3.atlas-condition-header-removal,docs/reports/PD-006-stage-1b-canonical-source-migration.md,dependency,"---

grounded: true
order: practice
domain: atlas-practice
kind: standard
ai_role: standard
condition_key: practice.atlas-condition-header

needs:
  - ""[[Terms and Conditions]]""
  - ""[[Term]]""
  - ""[[Condition]]""

conditions:
  places: ""root-level Atlas practice standard""
  holds: ""[[Terms and Conditions]], [[Term]], and [[Condition]]. Terms and conditions must remain traceable before the compact condition summary can serve Atlas notes.""
  pairs: ""No lateral pair is required at this placement. Atlas Condition Header is a note-standard format rather than one side of a structural pair.""
  traces:
    - ""[[Term]]""
    - ""[[Condition]]""
    - ""[[Terms and Conditions]]""
    - ""[[Common Term Structure]]""
  nests: ""within Atlas practice, note formatting, AI-assisted reading, and grounding workflow""
  reads: ""the top of a note carries the gathered condition summary while the body carries the full human-facing read""
  carries: []

publish: true
status: stable
---
# Atlas Condition Header

Root-level Atlas practice standard.

Atlas Condition Header is held by [[Terms and Conditions]], [[Term]], and [[Condition]].

It allows a note to remain human-facing while giving AI and other tools a clear, stable way to locate the gathered condition information.

The header does not replace the note body. The body carries the full read. The header carries the condition summary.

## Places

Atlas Condition Header places within Atlas practice as a note-formatting standard.

It belongs at the level of the root note standards, beside the notes that define how terms, conditions, service, and grounding are handled.

## Holds

Atlas Condition Header is held by [[Terms and Conditions]], [[Term]], and [[Condition]].

A term only serves where its conditions remain traceable. The header gives those conditions a compact form at the top of the note.

## Pairs

No lateral pair is required at this placement. Atlas Condition Header is a note-standard format rather than one side of a structural pair.

## Traces

- [[Term]]
- [[Condition]]
- [[Terms and Conditions]]
- [[Common Term Structure]]

## Nests

Atlas Condition Header nests within the Human-AI organisation of the Atlas.

It is not an authorship claim, an audit status, or a participant determination. It is a structural summary that helps AI and other tools scan the note quickly while leaving groundedness as the recorded result of participant determination.

## Reads

Atlas Condition Header becomes recognisable where the top of a note carries the gathered condition information in a predictable form:

```yaml
---
grounded: true
order:
domain:
kind: term
condition_key:

needs: []

conditions:
  places: """"
  holds: """"
  pairs: """"
  traces: []
  nests: """"
  reads: """"
  carries: []
---
```

The condition keys mirror the body headings:

- Places
- Holds
- Pairs
- Traces
- Nests
- Reads
- Carries

The header is not a checklist. It does not add a separate pass/fail layer. It only carries the gathered structural information in a compact form.

## Carries

Atlas Condition Header carries forward a cleaner Human-AI workflow:

- the body remains readable to humans;
- the header remains scannable to AI;
- grounded records participant determination;
- condition summaries can be searched, compared, checked, and mapped without rewriting the note body.

The rule is:

```text
The body carries the full note.
The header carries the condition summary.
Grounded records participant determination.
```
",ABSENT,Approved Phase 4 Determination 6,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,pd.v3.phase-4-minimal-architecture,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,order: practice,register: practice,Approved Phase 4 Determination 1,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,pd.v3.public-surface-propagation,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.public-surface-propagation,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Dependency Order.md,ground.dependency-order,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Emergent.md,ground.emergent,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Generic.md,ground.generic,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Ground.md,ground.ground,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Groundedness.md,ground.groundedness,pd.v3.phase-4-minimal-architecture,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.phase-4-minimal-architecture,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Groundedness.md,ground.groundedness,pd.v3.phase-4-minimal-architecture,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,"determination_records:
  pd.v3.pre-provenance-baseline:
    proof: ""docs/reports/PD-006-stage-1b-canonical-source-migration.md#determination-provenance""
    approved_on: ""2026-07-14""
    constitutional_response: ""The smallest coherent change is to accept the 482 unchanged grounded Atlas entries surviving the approved Phase 1 and Phase 4 dispositions as prior participant determinations for migration, without asserting missing per-entry approval history. Their current grounded state is accepted at this boundary; any later substantive change requires a new participant determination.""
    structural_radius: constitutional
    caveat: ""This baseline records present participant acceptance. It does not prove the original author, approver, approval event, or approval date of any covered entry and must not be cited as evidence of those historical facts.""
  pd.v3.phase-4-minimal-architecture:
    proof: ""docs/reports/PD-006-stage-1b-canonical-source-migration.md#phase-4-minimal-architecture""
    approved_on: ""2026-07-14""
    constitutional_response: ""The smallest coherent implementation retains one five-order spine and two unranked registers, declares one Atlas schema, carries stable exact-ID relation targets inside conditions, records bounded provenance, removes repository-format authority, and carries one three-entry AI protocol.""
    structural_radius: constitutional
  pd.v3.canonical-atlas-architecture-v3:
    proof: ""docs/reports/PD-006-stage-1b-canonical-source-migration.md#canonical-atlas-architecture-v3""
    approved_on: ""2026-07-14""
    constitutional_response: ""The Atlas records participant determinations; grounding is their recorded result; unresolved investigation remains in Calibration; and every determination states the smallest coherent change and its structural radius.""
    structural_radius: constitutional
  pd.v3.public-surface-propagation:
    proof: ""docs/reports/PD-006-stage-1b-canonical-source-migration.md#public-surface-propagation""
    approved_on: ""2026-07-14""
    constitutional_response: ""Every public surface participates without independently determining Atlas structure; structural content originates in the Atlas and is carried through one Canonical Graph.""
    structural_radius: constitutional
  pd.v3.current-record-convention-removal:
    proof: ""docs/reports/PD-006-stage-1b-canonical-source-migration.md#current-record-convention-removal""
    approved_on: ""2026-07-14""
    constitutional_response: ""The repository encoding must stop presenting itself as Atlas structure; Current Record Convention is removed and format documentation is generated from the approved schema.""
    structural_radius: repository
  pd.v3.atlas-condition-header-removal:
    proof: ""docs/reports/PD-006-stage-1b-canonical-source-migration.md#atlas-condition-header-removal""
    approved_on: ""2026-07-14""
    constitutional_response: ""Repository-format documentation is generated from atlas_schema, so Atlas Condition Header is removed without a replacement Atlas entry.""
    structural_radius: dependency",Approved Phase 4 Determination 4 and Stage 1B corrected inventory,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
