source_path,condition_key,title,relation_type,legacy_field_path,legacy_value_exact,authored_read_exact,legacy_targets_in_source_order,resolved_canonical_ids,resolution_basis,resolution_state,target_count_before,target_count_after,semantic_change,reviewer,reviewed_on,determination_id
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,needs,needs,"[""[[Reality Mechanics]]"",""[[Atlas]]"",""[[Root Order]]"",""[[Theory]]""]","","[""Reality Mechanics"",""Atlas"",""Root Order"",""Theory""]","[""practice.reality-mechanics"",""practice.atlas"",""ground.root-order"",""practice.reality-mechanics-theory""]",exact-title,resolved,4,4,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,holds,conditions.holds,"""[[Reality Mechanics]], [[Atlas]], [[Root Order]], and [[Theory]].""","[[Reality Mechanics]], [[Atlas]], [[Root Order]], and [[Theory]].","[""Reality Mechanics"",""Atlas"",""Root Order"",""Theory""]","[""practice.reality-mechanics"",""practice.atlas"",""ground.root-order"",""practice.reality-mechanics-theory""]",exact-title,resolved,4,4,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,pairs,conditions.pairs,"""[[Atlas]]. Atlas Root is the entry map; Atlas is the worked and tended surface the map opens into.""",[[Atlas]]. Atlas Root is the entry map; Atlas is the worked and tended surface the map opens into.,"[""Atlas""]","[""practice.atlas""]",exact-title,resolved,1,1,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,traces,conditions.traces,"[""[[Reality Mechanics]]"",""[[Atlas]]"",""[[Root Order]]"",""[[Theory]]""]","","[""Reality Mechanics"",""Atlas"",""Root Order"",""Theory""]","[""practice.reality-mechanics"",""practice.atlas"",""ground.root-order"",""practice.reality-mechanics-theory""]",exact-title,resolved,4,4,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,nests,conditions.nests,"""at the entrance of the Atlas as a root-facing map rather than a separate doctrine.""",at the entrance of the Atlas as a root-facing map rather than a separate doctrine.,[],[],explicit-empty,resolved,0,0,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,reads,conditions.reads,"""where a participant needs the working postulate, dependency spine, posture read, order crossings, and entry practice in one place.""","where a participant needs the working postulate, dependency spine, posture read, order crossings, and entry practice in one place.",[],[],explicit-empty,resolved,0,0,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/00_ROOT.md,practice.atlas-root,Atlas Root,carries,conditions.carries,"""No direct downstream term is required. Atlas Root opens entry into the Atlas rather than generating a separate branch.""",No direct downstream term is required. Atlas Root opens entry into the Atlas rather than generating a separate branch.,[],[],explicit-empty,resolved,0,0,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,needs,needs,"[""[[Generic]]"",""[[Structural Disorder]]""]","","[""Generic"",""Structural Disorder""]","[""ground.generic"",""ground.structural-disorder""]",exact-title,resolved,2,2,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,holds,conditions.holds,"""[[Generic]] and [[Structural Disorder]] — a generative source must be operative before it can be lost, and loss of dependency readability must be nameable before its specific form as generative trace loss can be placed""","[[Generic]] and [[Structural Disorder]] — a generative source must be operative before it can be lost, and loss of dependency readability must be nameable before its specific form as generative trace loss can be placed","[""Generic"",""Structural Disorder""]","[""ground.generic"",""ground.structural-disorder""]",exact-title,resolved,2,2,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,pairs,conditions.pairs,"""[[Regenerate]]. Degenerate names carrying that has lost its generative trace; Regenerate names the return to generative conditions from within that loss — the recovery of the trace. Each requires the other: Degenerate is only nameable against the possibility of returning from it; Regenerate is only nameable against the condition it addresses.""",[[Regenerate]]. Degenerate names carrying that has lost its generative trace; Regenerate names the return to generative conditions from within that loss — the recovery of the trace. Each requires the other: Degenerate is only nameable against the possibility of returning from it; Regenerate is only nameable against the condition it addresses.,"[""Regenerate""]","[""ground.regenerate""]",exact-title,resolved,1,1,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,traces,conditions.traces,"[""[[Generic]]"",""[[Structural Disorder]]""]","","[""Generic"",""Structural Disorder""]","[""ground.generic"",""ground.structural-disorder""]",exact-title,resolved,2,2,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,nests,conditions.nests,"""within Structural Disorder as its specific mode where carrying continues while the generative trace drops — where what was generated from a source carries on as if it were the source""",within Structural Disorder as its specific mode where carrying continues while the generative trace drops — where what was generated from a source carries on as if it were the source,[],[],explicit-empty,resolved,0,0,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,reads,conditions.reads,"""where a term, pattern, or practice carries forward while the trace to its generative origin has been lost — where the form continues but the source is no longer held, and what was an instance has become a local primitive""","where a term, pattern, or practice carries forward while the trace to its generative origin has been lost — where the form continues but the source is no longer held, and what was an instance has become a local primitive",[],[],explicit-empty,resolved,0,0,false,Codex (mechanical exact-match review),2026-07-14,""
Reality_Mechanics/0_Ground/Degenerate.md,ground.degenerate,Degenerate,carries,conditions.carries,"[""[[Source Drift]]"",""[[Thin Carrying]]"",""[[Destination-Led Carrying]]"",""[[Regenerate]]"",""[[Degeneration Read]]""]","","[""Source Drift"",""Thin Carrying"",""Destination-Led Carrying"",""Regenerate"",""Degeneration Read""]","[""higher.source-drift"",""third.thin-carrying"",""third.destination-led-carrying"",""ground.regenerate"",""third.degeneration-read""]",exact-title,resolved,5,5,false,Codex (mechanical exact-match review),2026-07-14,""
